,0,1,2,3,4,5,6,class
96,1,1,1,1,1,0,1,6
97,1,1,1,1,0,1,1,9
98,0,0,1,0,1,1,0,7
99,0,0,0,0,0,0,0,1
100,0,1,1,1,0,1,0,4
101,1,1,1,1,0,1,1,9
102,1,0,1,1,1,1,1,8
103,1,0,1,0,0,1,1,7
104,1,0,1,0,0,1,1,3
105,1,1,0,0,1,0,1,6
106,1,1,0,1,0,1,1,5
107,0,0,1,1,1,1,1,2
108,1,1,1,1,1,0,0,8
109,0,1,1,0,0,1,0,4
110,0,0,1,1,0,0,0,4
111,1,0,0,1,0,1,1,9
112,0,1,1,1,1,1,1,9
113,0,1,1,1,1,1,1,8
114,0,1,1,1,0,1,0,4
115,1,1,1,0,0,1,0,4
116,1,1,1,1,0,1,1,9
117,1,0,1,1,0,1,1,3
118,1,1,1,0,0,1,1,0
119,1,0,1,1,1,0,0,2
120,1,0,1,0,0,0,0,7
121,1,0,1,1,0,1,1,3
122,1,0,1,0,1,1,1,0
123,0,1,1,1,0,1,1,5
124,0,0,1,0,1,0,1,1
125,0,0,1,0,0,1,0,7
126,1,1,0,1,0,1,1,8
127,1,1,1,1,0,0,0,4
128,1,1,0,1,1,1,1,8
129,0,0,1,1,0,1,1,1
130,1,1,1,1,0,1,1,9
131,0,1,0,0,0,0,1,9
132,0,1,1,0,0,1,0,0
133,1,1,0,1,1,0,1,6
134,0,1,1,1,0,1,0,9
135,1,0,0,0,0,1,0,7
136,0,0,1,1,1,0,1,2
137,1,0,1,1,0,1,0,7
138,1,0,1,1,0,1,1,3
139,1,1,1,1,1,1,0,5
140,0,0,0,1,0,1,0,1
141,1,1,0,1,1,1,1,6
142,0,1,1,1,0,1,1,5
143,0,0,1,0,0,1,0,1
144,0,1,1,1,0,1,1,8
145,1,0,1,1,1,1,1,5
146,0,0,1,0,0,1,0,1
147,1,1,0,1,1,0,1,9
148,1,1,0,1,0,1,1,6
149,1,1,0,1,0,0,1,9
150,1,0,1,0,0,1,0,3
151,1,1,1,1,0,1,0,8
152,1,0,1,0,1,1,1,0
153,0,1,0,1,1,1,0,6
154,0,0,1,0,0,1,0,1
155,0,0,1,1,1,0,1,2
156,1,1,1,1,1,0,0,2
157,1,0,1,0,0,1,0,7
158,1,1,1,0,0,1,1,5
159,1,0,1,1,1,1,1,0
160,0,0,1,0,0,1,0,1
161,1,1,1,0,1,0,1,9
162,1,0,0,0,0,1,1,5
163,0,1,1,1,0,1,1,9
164,0,0,0,1,0,1,1,5
165,1,0,0,1,1,0,1,2
166,1,0,1,1,0,0,1,9
167,0,1,1,0,1,1,1,8
168,1,0,0,0,0,1,0,7
169,0,1,1,0,1,0,1,8
170,1,0,1,1,0,1,1,9
171,0,1,1,1,0,1,0,4
172,1,0,1,1,0,1,1,3
173,1,0,0,1,1,0,1,2
174,0,0,0,1,1,1,0,1
175,0,1,0,1,1,1,1,6
176,1,1,0,0,0,1,1,5
177,0,0,1,1,0,0,1,2
178,1,0,1,1,1,1,1,0
179,0,0,1,1,0,0,0,4
180,1,1,1,0,1,1,0,7
181,1,1,1,1,0,1,1,3
182,1,1,1,1,1,1,0,8
183,0,0,1,0,0,1,1,1
184,1,1,1,1,1,1,0,8
185,0,0,1,1,0,0,0,2
186,0,1,1,1,0,1,0,4
187,1,1,0,0,1,1,1,0
188,1,0,0,1,1,1,0,6
189,0,1,0,1,1,0,1,6
190,0,1,0,1,0,1,0,4
191,1,1,1,1,1,1,1,9
192,1,1,1,1,0,1,1,2
193,1,1,1,0,0,1,1,5
194,0,0,1,0,0,0,0,1
195,1,0,0,0,0,1,0,7
196,1,1,0,1,0,1,0,7
197,1,1,0,1,0,0,1,5
198,1,0,0,1,0,0,0,2
199,1,1,1,0,1,0,1,8
200,1,0,1,1,0,1,0,7
201,1,1,1,1,0,1,1,8
202,1,1,1,1,1,1,1,0
203,1,1,1,1,1,0,1,8
204,0,1,1,1,0,1,1,8
205,1,1,0,0,1,1,1,5
206,1,0,1,1,0,1,1,3
207,1,0,1,0,0,0,0,7
208,1,0,1,0,0,1,0,7
209,1,0,0,1,0,0,0,2
210,1,1,1,0,1,0,1,0
211,1,0,0,1,0,1,1,9
212,0,0,1,0,0,0,0,1
213,1,1,0,1,0,1,0,7
214,1,1,1,0,0,1,1,0
215,0,1,1,0,1,1,0,4
216,1,1,1,1,1,0,0,8
217,1,1,1,1,1,1,1,5
218,1,1,0,1,1,1,1,6
219,0,0,1,0,0,1,0,4
220,1,1,1,0,1,1,0,0
221,0,0,1,0,1,1,1,7
222,0,0,1,0,0,1,0,1
223,1,0,0,1,0,1,0,7
224,1,1,1,1,1,1,1,8
225,0,1,1,1,0,1,0,4
226,0,1,1,1,0,1,0,4
227,1,1,1,1,0,1,0,4
228,1,1,0,1,0,1,0,4
229,1,1,1,0,1,1,0,8
230,1,1,0,1,1,1,0,8
231,1,0,1,1,1,1,1,8
232,0,1,1,0,0,1,0,4
233,1,0,1,1,1,1,1,0
234,0,0,1,0,1,1,0,7
235,1,1,0,1,0,1,1,5
236,1,0,1,1,0,0,1,3
237,0,1,0,1,0,1,0,4
238,0,1,1,0,0,0,0,1
239,1,0,1,0,1,1,0,7
240,1,1,0,0,1,1,1,0
241,0,0,1,0,0,1,0,1
242,1,1,1,1,0,1,1,9
243,1,0,1,1,1,1,0,9
244,1,1,1,0,1,1,1,8
245,1,1,1,0,1,1,1,9
246,1,1,1,1,1,1,1,8
247,1,1,1,1,1,1,1,0
248,0,1,1,1,0,1,0,4
249,1,1,0,0,1,1,0,6
250,0,1,0,0,0,1,1,5
251,0,1,1,1,0,1,1,4
252,1,0,0,1,0,1,1,3
253,1,0,1,0,1,1,1,0
254,1,1,1,0,0,1,1,0
255,1,1,1,1,0,0,1,9
256,1,0,1,1,0,0,1,3
257,1,1,1,1,1,1,1,8
258,1,1,1,1,1,0,0,2
259,1,0,1,0,1,1,0,7
260,0,0,0,0,0,1,0,1
261,0,0,1,1,0,1,1,9
262,1,1,0,1,0,1,1,5
263,1,0,1,1,0,1,1,3
264,1,1,0,1,0,1,1,5
265,1,1,0,1,0,0,1,5
266,1,1,0,1,0,1,1,9
267,1,1,0,1,0,0,1,5
268,0,0,0,1,1,0,1,2
269,0,0,1,0,0,1,0,1
270,1,1,0,0,1,1,1,0
271,0,1,0,0,1,1,0,0
272,1,1,1,0,0,1,1,6
273,1,1,0,1,0,1,1,5
274,0,0,1,1,0,1,1,1
275,1,0,1,0,1,1,1,0
276,1,1,1,1,1,1,1,8
277,0,1,0,1,0,1,0,4
278,1,1,0,1,1,1,1,6
279,1,0,0,1,1,1,0,6
280,1,0,0,1,1,1,1,6
281,0,1,1,1,0,0,0,4
282,0,1,0,1,0,0,1,6
283,1,0,0,0,1,0,1,2
284,0,0,1,1,0,1,1,2
285,1,1,1,1,0,0,1,9
286,1,1,1,0,0,1,0,3
287,1,1,0,1,1,1,1,6
288,1,0,1,1,0,1,1,9
289,1,1,0,1,0,1,1,5
290,1,1,1,1,0,1,1,3
291,1,0,1,1,0,1,1,3
292,1,0,1,1,1,0,1,2
293,0,0,1,0,0,1,0,1
294,1,0,0,1,1,1,1,6
295,1,1,0,1,1,1,0,6
296,1,0,1,0,0,1,1,3
297,1,1,1,1,0,1,1,5
298,1,1,1,1,0,0,1,9
299,0,0,1,1,0,0,0,7
300,1,0,1,1,0,1,1,7
301,1,0,1,0,1,0,1,0
302,1,0,1,1,0,1,1,3
303,1,0,0,1,1,0,1,2
304,1,0,1,0,1,1,0,3
305,1,0,0,1,0,1,1,5
306,1,1,0,1,1,1,1,6
307,1,1,1,1,1,1,0,9
308,1,0,0,0,1,1,1,6
309,1,0,0,1,1,1,1,2
310,1,1,1,0,1,1,1,0
311,1,1,0,0,0,1,0,7
312,1,0,1,1,1,0,1,2
313,1,1,1,0,1,1,1,8
314,0,0,1,0,1,1,0,1
315,0,0,1,0,0,1,0,1
316,1,0,0,1,0,0,1,9
317,0,0,1,1,0,1,0,4
318,1,0,1,1,0,1,0,1
319,1,0,1,1,1,0,1,2
320,0,1,0,1,0,1,0,4
321,1,1,0,1,0,0,1,5
322,1,1,0,1,0,1,1,5
323,0,1,1,1,0,1,1,4
324,0,0,0,0,1,1,0,1
325,1,1,1,1,0,1,1,6
326,1,1,0,0,0,1,1,5
327,1,1,0,1,1,1,1,3
328,0,0,1,0,0,0,1,7
329,0,1,1,1,1,1,1,6
330,1,0,0,1,1,1,1,2
331,1,1,1,1,0,0,0,3
332,0,0,1,0,1,1,1,1
333,1,1,1,1,0,1,1,8
334,1,0,1,1,1,1,1,3
335,1,0,1,1,0,0,0,7
336,0,1,0,1,0,1,1,5
337,1,1,1,1,1,1,0,1
338,1,1,1,1,1,0,0,8
339,0,0,1,0,0,1,0,1
340,0,0,1,0,0,1,1,1
341,1,1,1,1,1,1,1,9
342,1,0,1,1,1,0,1,2
343,0,0,1,1,0,1,0,4
344,1,1,1,0,0,0,0,9
345,0,0,0,0,1,1,1,1
346,1,1,0,0,1,1,1,0
347,1,1,0,1,1,1,0,6
348,0,1,1,0,0,1,1,0
349,0,1,0,1,0,1,0,4
350,1,0,1,0,0,1,0,7
351,0,0,1,1,1,0,1,2
352,1,1,1,0,1,1,1,0
353,1,0,1,1,1,1,1,0
354,1,1,0,1,0,1,1,5
355,1,1,1,0,1,1,1,0
356,1,1,1,1,0,1,0,5
357,1,0,0,1,1,0,1,2
358,1,0,1,0,0,1,0,1
359,0,0,1,1,1,0,1,2
360,1,1,1,0,0,0,1,0
361,1,0,1,1,0,1,0,1
362,0,0,1,1,1,1,0,1
363,0,0,1,0,1,1,1,2
364,1,1,1,1,0,1,0,6
365,0,0,1,1,0,1,0,4
366,0,0,0,0,0,1,0,7
367,1,1,1,1,1,1,1,8
368,1,1,0,1,0,1,1,8
369,1,0,1,0,1,1,0,7
370,1,1,1,0,1,1,1,0
371,0,0,1,1,1,1,1,2
372,1,1,0,1,0,1,1,9
373,0,1,1,1,0,1,0,7
374,1,1,1,1,0,1,1,2
375,1,0,1,1,1,0,1,2
376,0,0,1,0,0,1,0,1
377,0,1,0,1,0,1,1,5
378,1,0,1,0,0,0,1,2
379,0,1,1,1,0,1,1,9
380,1,1,1,1,1,0,1,2
381,1,1,0,0,0,0,0,5
382,1,1,1,1,1,1,1,6
383,1,0,1,0,0,1,1,7
384,1,1,0,1,1,1,1,0
385,0,0,1,0,0,1,0,1
386,0,0,0,0,1,1,1,6
387,0,1,0,1,0,1,1,4
388,1,1,1,0,1,0,0,0
389,0,1,0,1,0,1,0,4
390,1,1,1,0,0,1,1,8
391,0,0,1,0,0,1,0,4
392,1,0,1,1,0,1,1,9
393,1,1,0,1,0,1,1,9
394,1,1,0,1,1,1,1,9
395,0,0,1,1,0,1,1,3
396,0,1,1,0,0,1,0,4
397,1,1,1,1,1,1,1,8
398,1,0,1,0,0,0,1,2
399,1,1,1,1,1,1,0,8
400,0,1,0,0,1,1,1,6
401,1,0,0,0,0,1,0,7
402,0,0,1,0,0,1,0,1
403,1,0,1,1,0,1,1,9
404,1,0,1,0,0,1,1,0
405,0,1,1,1,0,0,1,0
406,1,0,1,1,1,0,1,3
407,1,1,1,1,0,1,1,9
408,0,0,0,0,0,1,0,1
409,1,0,0,1,0,0,1,3
410,1,1,1,1,1,0,1,2
411,1,1,0,1,1,1,1,6
412,0,1,1,1,0,1,1,9
413,0,1,1,1,0,1,0,4
414,1,1,1,0,0,1,0,4
415,1,1,0,1,0,1,1,5
416,1,1,1,0,1,1,1,0
417,1,0,1,0,0,1,1,7
418,0,0,1,0,0,1,0,1
419,0,0,1,0,0,1,0,1
420,1,0,1,0,0,0,0,7
421,0,1,1,1,1,0,1,8
422,1,1,0,1,0,1,1,5
423,1,0,1,1,0,1,0,7
424,1,1,1,0,0,1,1,9
425,1,1,1,0,1,1,0,7
426,0,1,1,1,0,1,0,3
427,1,0,1,1,1,1,1,8
428,1,1,1,1,0,1,0,5
429,0,1,0,1,0,1,0,6
430,1,1,1,0,1,0,0,0
431,0,0,1,1,1,1,1,0
432,1,1,1,0,1,0,1,0
433,0,0,1,0,0,1,0,1
434,1,1,1,0,1,1,1,8
435,1,1,1,0,0,1,1,7
436,0,1,1,0,0,1,0,1
437,0,0,0,0,0,1,0,4
438,1,0,0,0,0,0,0,1
439,1,0,1,0,0,0,0,7
440,1,0,1,0,0,1,1,7
441,1,1,0,0,1,1,1,0
442,1,1,0,1,0,1,0,9
443,0,0,0,0,0,1,0,7
444,1,1,1,1,0,1,1,9
445,1,1,0,1,1,1,1,6
446,0,1,0,1,0,1,0,9
447,1,0,1,0,0,1,0,7
448,0,0,1,0,0,0,0,1
449,0,1,1,1,0,1,1,0
450,0,1,1,1,0,1,0,4
451,1,0,1,0,0,1,1,7
452,0,0,1,1,0,1,0,3
453,1,0,1,1,1,0,0,2
454,1,1,0,1,1,0,1,6
455,0,1,1,1,0,1,0,9
456,1,1,1,0,1,1,1,0
457,1,1,1,1,1,0,1,2
458,1,1,1,1,0,1,0,9
459,1,1,0,1,1,1,1,6
460,1,1,1,1,1,1,1,8
461,1,0,1,0,1,0,1,2
462,1,1,0,1,1,0,0,6
463,0,1,0,1,0,1,1,6
464,1,1,1,1,1,0,1,0
465,1,1,1,1,1,1,1,8
466,1,1,1,0,1,1,0,0
467,0,1,1,1,0,1,0,4
468,1,1,0,1,0,1,0,5
469,1,1,1,0,0,1,1,1
470,1,0,1,1,1,1,1,9
471,1,1,1,1,1,1,1,9
472,1,0,0,1,1,0,1,2
473,1,1,0,1,0,1,1,5
474,0,1,1,0,1,1,0,0
475,1,1,1,1,0,0,1,5
476,1,1,0,1,0,1,0,5
477,1,0,1,1,1,1,0,1
478,1,1,0,1,1,1,1,6
479,0,1,1,0,1,0,0,1
480,0,1,1,1,1,1,1,8
481,1,1,0,1,1,1,1,6
482,0,0,1,0,0,1,0,1
483,1,1,0,1,0,1,1,6
484,1,1,1,1,1,1,1,8
485,1,1,0,1,1,1,1,0
486,0,1,1,1,0,1,1,4
487,1,0,1,0,1,0,1,2
488,1,1,1,0,0,1,1,8
489,1,1,0,1,1,1,1,5
490,1,1,0,1,0,1,1,5
491,1,1,1,0,1,1,1,0
492,1,1,0,1,0,0,1,5
493,0,0,1,1,0,0,1,4
494,1,1,1,0,1,1,0,0
495,0,1,1,1,0,1,0,4
496,1,1,0,1,1,1,0,4
497,1,1,0,0,0,1,1,9
498,1,0,1,1,1,1,1,2
499,1,1,1,0,1,1,0,0
500,0,1,0,1,0,1,1,5
501,1,1,0,1,1,1,1,6
502,1,1,1,1,1,0,1,8
503,0,1,1,0,1,1,0,7
504,0,0,1,1,0,1,0,1
505,0,0,0,0,1,0,1,6
506,0,1,1,0,1,1,1,0
507,0,1,1,1,0,1,0,4
508,1,0,0,1,1,0,1,2
509,1,1,1,1,1,1,0,7
510,1,1,1,1,1,1,1,6
511,1,0,1,0,1,1,0,1
512,1,1,1,1,1,1,1,6
513,1,1,0,1,1,1,1,6
514,1,1,1,1,0,0,1,3
515,1,0,0,0,1,1,1,0
516,1,0,1,1,1,0,1,2
517,1,1,0,1,1,1,1,6
518,0,1,1,0,0,0,0,4
519,0,0,1,1,1,0,0,2
520,1,0,1,0,1,1,0,6
521,1,0,1,1,0,1,1,3
522,0,1,0,1,1,1,1,9
523,1,0,1,1,1,0,0,8
524,1,0,0,1,0,1,1,3
525,1,0,0,0,0,1,1,3
526,1,1,0,1,0,1,0,5
527,1,1,0,1,1,0,1,2
528,1,1,1,1,1,1,1,8
529,1,0,1,0,0,1,0,7
530,1,0,1,1,0,0,1,3
531,1,0,1,1,0,0,1,3
532,1,0,1,1,0,1,1,3
533,1,0,1,1,0,0,0,3
534,0,0,1,0,0,0,0,1
535,1,1,1,1,0,0,1,9
536,1,1,1,0,1,1,1,8
537,1,1,1,1,0,1,1,8
538,0,1,1,0,1,1,1,0
539,1,0,1,0,0,1,1,3
540,1,1,1,0,0,1,0,5
541,0,1,1,1,0,1,0,4
542,0,1,1,0,1,1,1,0
543,0,1,0,0,1,1,0,4
544,0,0,1,0,0,1,1,1
545,0,0,1,0,0,1,0,1
546,0,1,1,1,0,1,0,4
547,1,0,1,1,1,0,1,2
548,1,0,1,0,0,1,0,1
549,1,0,1,0,0,0,0,7
550,1,0,1,1,0,1,0,2
551,0,0,0,0,0,1,1,1
552,0,1,1,1,0,1,1,9
553,1,1,0,1,1,0,1,2
554,1,1,0,1,1,1,1,8
555,1,1,1,1,0,1,0,9
556,0,1,1,0,0,1,0,4
557,1,0,1,0,0,1,0,7
558,1,0,1,1,0,1,0,9
559,1,1,1,1,1,1,1,6
560,0,1,1,1,0,0,0,4
561,1,0,1,1,1,0,0,7
562,1,0,0,1,0,1,0,2
563,1,0,1,1,0,1,1,3
564,0,0,0,1,1,0,1,2
565,0,1,1,0,1,1,0,0
566,1,1,1,0,0,1,0,7
567,1,1,1,1,1,0,1,2
568,1,1,0,0,1,0,1,0
569,0,0,1,0,0,1,1,1
570,0,0,1,0,0,1,1,1
571,1,1,0,0,0,1,1,5
572,1,1,0,1,0,0,1,5
573,1,0,1,0,0,1,0,7
574,1,0,1,0,1,0,0,7
575,0,1,1,1,0,1,0,4
576,1,1,0,1,0,1,1,5
577,1,1,1,0,0,0,0,7
578,1,0,1,0,1,0,1,0
579,1,1,0,1,1,1,0,6
580,1,0,1,1,0,1,1,3
581,1,1,1,1,1,1,1,6
582,0,0,0,0,0,0,0,1
583,1,0,1,1,0,1,1,3
584,1,0,0,0,0,1,0,7
585,1,1,1,1,1,1,1,8
586,1,1,0,1,1,1,1,6
587,1,1,0,1,0,1,1,5
588,1,1,1,1,0,1,0,4
589,1,1,1,0,1,0,1,8
590,1,1,1,1,0,1,0,9
591,1,0,0,1,0,1,1,5
592,1,1,1,1,0,1,0,4
593,1,1,0,1,1,1,0,6
594,0,1,0,1,1,1,0,6
595,1,1,0,0,1,1,0,6
596,0,1,1,1,1,1,1,5
597,1,0,1,1,1,0,1,2
598,1,0,1,1,1,0,1,8
599,1,1,0,1,1,0,1,6
600,1,0,1,0,0,0,0,7
601,1,1,1,0,0,1,1,1
602,0,0,1,0,0,1,0,1
603,1,1,0,1,0,1,1,8
604,1,0,1,0,1,1,1,0
605,0,0,1,0,0,0,0,1
606,1,1,0,0,1,1,1,6
607,1,0,1,1,0,0,1,2
608,1,1,1,0,0,1,0,7
609,1,0,1,1,1,1,1,8
610,0,1,1,0,0,1,0,4
611,1,0,1,1,0,1,0,3
612,1,0,1,0,1,0,1,2
613,1,1,1,1,1,1,1,6
614,1,0,0,1,0,1,0,1
615,0,1,1,1,0,1,1,4
616,0,0,1,1,1,0,1,2
617,1,1,1,0,1,1,1,0
618,1,0,0,0,1,0,1,6
619,1,1,0,1,0,1,1,6
620,1,1,1,1,0,0,1,9
621,1,1,0,1,1,1,1,6
622,1,1,1,1,1,1,1,0
623,1,1,1,1,1,1,1,0
624,0,1,1,0,0,0,0,4
625,0,0,0,0,0,1,0,7
626,1,0,0,1,0,1,1,5
627,1,1,0,1,1,0,1,2
628,1,0,1,0,0,1,1,8
629,0,1,1,0,1,0,1,2
630,0,0,0,1,0,1,0,4
631,1,1,1,0,0,1,0,7
632,0,1,1,0,0,1,0,1
633,0,0,0,1,1,0,1,2
634,1,0,0,0,0,1,0,1
635,0,1,1,1,0,1,1,8
636,1,1,0,0,1,0,1,6
637,1,1,0,1,1,1,1,5
638,0,0,1,0,0,1,0,1
639,1,1,1,1,1,1,1,8
640,1,0,1,1,0,0,1,2
641,1,0,1,1,0,1,0,3
642,1,0,0,1,0,1,0,3
643,1,1,0,0,1,1,1,5
644,1,0,1,0,0,1,0,7
645,1,1,0,0,0,1,1,5
646,1,1,1,1,1,1,1,8
647,0,1,1,1,1,1,1,4
648,0,0,1,0,1,1,0,1
649,1,0,1,1,1,1,0,3
650,1,0,0,1,0,1,1,3
651,1,1,1,0,1,1,1,8
652,1,0,1,1,1,1,1,3
653,1,1,1,0,0,1,0,9
654,0,1,1,1,0,1,0,4
655,1,1,0,1,0,1,0,4
656,1,1,0,1,1,1,1,5
657,1,0,1,1,0,0,1,8
658,1,0,1,1,1,0,1,2
659,1,0,1,1,0,1,0,3
660,0,0,1,0,0,1,1,7
661,1,1,0,1,0,1,1,9
662,0,0,1,0,1,1,0,7
663,1,0,1,0,1,1,1,2
664,1,0,1,0,0,1,0,7
665,1,1,1,1,0,0,1,9
666,1,0,1,1,1,1,1,9
667,0,0,0,1,1,1,1,6
668,0,1,1,0,0,1,0,1
669,1,0,1,0,0,1,0,7
670,0,1,1,1,0,1,0,4
671,1,0,1,1,1,0,1,8
672,0,1,1,1,0,1,1,5
673,1,1,0,1,0,1,1,6
674,0,1,0,0,0,0,1,6
675,1,0,0,1,0,1,0,7
676,1,1,1,1,0,1,1,9
677,1,1,0,1,1,1,1,6
678,0,0,0,1,0,1,0,5
679,1,1,1,1,0,1,0,8
680,1,0,1,0,0,1,0,7
681,1,0,0,1,0,1,1,5
682,0,0,1,1,0,1,1,4
683,1,0,1,0,0,0,0,7
684,1,0,1,0,1,0,0,2
685,0,0,1,0,0,0,0,1
686,1,0,1,1,1,0,1,3
687,1,0,1,1,1,0,0,2
688,1,1,1,1,1,0,1,9
689,0,1,1,1,0,1,0,4
690,1,0,1,1,1,1,1,8
691,0,1,1,0,1,1,1,0
692,0,0,1,1,0,1,0,4
693,1,1,1,1,0,0,0,9
694,1,1,0,0,0,1,0,1
695,1,0,1,0,1,1,0,0
696,1,0,1,0,0,1,1,1
697,0,0,1,0,0,1,0,1
698,1,1,0,1,1,1,0,6
699,1,0,0,1,1,1,1,6
700,1,1,0,1,0,1,0,9
701,1,1,0,0,0,1,0,7
702,1,1,0,1,0,0,1,2
703,1,1,1,0,1,1,1,0
704,1,1,1,1,0,1,1,8
705,1,1,0,1,1,1,1,5
706,0,0,1,0,0,1,0,1
707,0,1,1,1,1,1,0,4
708,0,1,1,1,1,0,1,2
709,1,0,1,0,1,0,0,7
710,1,1,1,0,1,1,1,0
711,1,0,1,1,1,1,1,9
712,1,1,0,0,0,1,1,3
713,1,1,1,0,1,0,0,2
714,1,0,1,1,0,1,1,3
715,1,0,1,0,0,1,1,2
716,0,1,1,1,1,0,1,6
717,1,0,1,0,1,1,1,9
718,1,1,1,1,0,1,1,9
719,1,1,0,1,1,1,1,8
720,0,0,1,1,0,0,0,1
721,0,0,1,0,0,1,0,1
722,1,1,1,0,1,0,1,0
723,0,1,1,0,1,1,1,0
724,0,0,0,0,0,0,0,1
725,1,0,1,0,0,1,0,7
726,0,0,1,0,1,1,1,1
727,0,1,0,1,0,1,1,6
728,0,0,1,0,1,1,0,4
729,1,0,1,0,1,0,1,2
730,1,1,0,1,0,1,1,9
731,1,0,1,0,0,1,0,7
732,1,1,1,1,1,1,1,9
733,0,1,1,1,1,1,1,8
734,1,1,1,1,1,1,1,8
735,1,1,1,0,1,0,1,0
736,1,0,1,1,1,0,1,2
737,0,0,1,0,0,1,0,1
738,1,1,0,1,0,0,1,9
739,1,0,0,1,0,0,1,5
740,0,0,0,0,0,1,0,1
741,1,1,1,1,0,1,1,9
742,1,0,0,1,1,0,1,6
743,1,1,1,1,1,1,1,8
744,1,0,0,1,0,1,0,3
745,1,0,0,1,0,0,0,4
746,1,1,1,1,0,0,0,8
747,1,0,1,1,0,1,1,3
748,1,1,1,0,1,0,1,8
749,1,0,1,1,0,1,0,7
750,1,0,1,1,1,0,0,2
751,0,0,1,1,0,1,1,3
752,1,0,0,1,0,0,0,5
753,1,0,1,1,0,1,0,7
754,0,1,1,1,0,0,0,4
755,1,1,1,1,0,0,1,7
756,1,1,0,0,0,1,1,9
757,0,0,1,1,0,1,0,4
758,1,0,1,0,0,0,0,7
759,1,0,0,1,0,1,1,5
760,1,0,1,1,0,1,0,7
761,0,1,1,1,1,1,1,6
762,0,0,1,1,0,1,1,1
763,1,0,0,1,0,1,1,7
764,0,1,1,1,1,0,0,4
765,0,0,1,1,0,1,1,7
766,0,1,1,1,0,1,0,4
767,1,0,1,0,1,1,0,7
768,1,0,0,0,1,0,1,2
769,0,1,0,0,0,1,1,5
770,1,1,1,1,0,1,1,9
771,0,1,0,0,0,1,1,5
772,1,0,0,1,0,1,1,5
773,1,1,1,1,1,1,0,8
774,1,0,1,1,1,0,1,2
